regex to match day + hour + height 
^ \| ([0-9]*) ([0-9]*) \| ([0-9]*\.[0-9]*)

Location : 46232      (32.53N 117.42W)
  Model    : spectral resolution for points
  Cycle    : 20200515 18 UTC
 +-------+-----------+-----------------+-----------------+-----------------+-----------------+-----------------+-----------------+
 | day & |  Hst  n x |    Hs   Tp  dir |    Hs   Tp  dir |    Hs   Tp  dir |    Hs   Tp  dir |    Hs   Tp  dir |    Hs   Tp  dir |
 |  hour |  (m)  - - |    (m)  (s) (d) |    (m)  (s) (d) |    (m)  (s) (d) |    (m)  (s) (d) |    (m)  (s) (d) |    (m)  (s) (d) |
 +-------+-----------+-----------------+-----------------+-----------------+-----------------+-----------------+-----------------+
 | 15  9 | 1.81  5   |   1.66  8.3 102 |   0.56 12.6   9 |   0.33 14.6  47 |   0.22 14.4 117 |   0.19 21.8  36 |                 |
 | 15 10 | 1.86  5   |   1.71  8.3 103 |   0.55 12.6   9 |   0.31 14.6  50 |   0.23 14.3 117 |   0.21 21.8  36 |                 |
 | 15 11 | 1.87  5   |   1.73  8.3 103 |   0.54 12.6   9 |   0.32 14.6  49 |   0.23 14.3 115 |   0.22 21.7  36 |                 |
 | 15 12 | 1.87  5   |   1.72  8.3 103 |   0.53 12.5   9 |   0.31 14.5  49 |   0.24 14.2 116 |   0.23 21.6  37 |                 |
 | 15 13 | 1.85  5   |   1.71  8.3 102 |   0.52 12.5   9 |   0.31 14.5  49 |   0.24 14.2 116 |   0.24 21.3  37 |                 |
 | 15 14 | 1.83  5   |   1.68  8.2 102 |   0.51 12.4   9 |   0.30 14.5  50 |   0.24 14.1 116 |   0.26 20.8  37 |                 |
 | 15 15 | 1.80  5   |   1.65  8.2 101 |   0.50 12.4   9 |   0.30 14.5  50 |   0.25 14.1 116 |   0.27 20.6  37 |                 |
 | 15 16 | 1.76  6   |   1.61  8.1 100 |   0.50 12.3   9 |   0.29 14.5  50 |   0.25 13.9 116 |   0.22 20.4  44 |   0.18 22.6  25 |
 | 15 17 | 1.73  6   |   1.57  8.1 100 |   0.49 12.3   9 |   0.28 14.4  51 |   0.25 13.7 116 |   0.24 20.4  43 |   0.16 23.3  22 |
 | 15 18 | 1.70  6   |   1.54  8.0  99 |   0.48 12.2   9 |   0.27 14.4  50 |   0.24 13.6 116 |   0.24 20.4  43 |   0.17 23.3  22 |
 | 15 19 | 1.67  7 1 |   1.52  8.1  99 |   0.47 12.2   9 |   0.27 14.4  50 |   0.24 13.5 116 |   0.25 20.4  41 |   0.18 23.3  22 |
 | 15 20 | 1.65  7 1 |   1.50  8.1  99 |   0.47 12.2   9 |   0.27 14.3  50 |   0.25 13.5 115 |   0.25 20.4  41 |   0.19 23.2  21 |
 | 15 21 | 1.64  7 1 |   1.48  8.1  98 |   0.46 12.2   9 |   0.27 14.3  49 |   0.25 13.4 115 |   0.26 20.4  40 |   0.19 23.2  21 |
 | 15 22 | 1.64  7 1 |   1.48  8.1  98 |   0.45 12.1   9 |   0.26 14.2  49 |   0.25 13.4 115 |   0.26 20.3  40 |   0.20 23.1  21 |
 | 15 23 | 1.64  7 2 |   1.48  8.1  98 |   0.44 12.1   9 |   0.25 14.1  50 |   0.25 13.4 115 |   0.34 20.5  32 |                 |
 | 16  0 | 1.64  6   |   1.47  8.0  98 |   0.44 12.1   9 |   0.26 14.0  49 |   0.25 13.4 115 |   0.36 20.5  31 |   0.20 18.5 354 |
 | 16  1 | 1.63  6   |   1.47  7.9  98 |   0.43 12.1   9 |   0.26 14.0  49 |   0.25 13.4 115 |   0.37 20.5  31 |   0.20 18.2 354 |
 | 16  2 | 1.63  7 1 |   1.46  7.9  98 |   0.42 12.1   9 |   0.26 13.9  49 |   0.25 13.4 115 |   0.38 20.5  31 |   0.21 18.0 353 |
 | 16  3 | 1.62  7 1 |   1.45  7.9  98 |   0.41 12.1   9 |   0.26 13.9  49 |   0.25 13.3 115 |   0.39 20.5  31 |   0.21 17.9 353 |
 | 16  4 | 1.63  8 2 |   1.45  7.9  98 |   0.41 12.2   9 |   0.26 13.9  49 |   0.25 13.3 115 |   0.29 19.3  42 |   0.22 17.9 353 |
 | 16  5 | 1.64  8 2 |   1.46  8.0  98 |   0.40 12.2   9 |   0.25 13.9  50 |   0.24 13.2 115 |   0.27 19.1  44 |   0.22 17.8 353 |
 | 16  6 | 1.65  8 2 |   1.47  8.0  98 |   0.40 12.2   9 |   0.26 13.9  49 |   0.24 13.0 115 |   0.31 19.1  42 |   0.23 17.8 353 |
 | 16  7 | 1.66  8 2 |   1.48  8.0  98 |   0.39 12.2   9 |   0.26 13.9  49 |   0.23 12.7 115 |   0.32 19.1  42 |   0.23 17.8 353 |
 | 16  8 | 1.67  8 2 |   1.48  8.0  98 |   0.39 12.2   9 |   0.24 13.7  51 |   0.22 12.6 116 |   0.33 19.1  42 |   0.24 17.7 353 |
 | 16  9 | 1.68  7 1 |   1.50  8.1  99 |   0.38 12.1   9 |   0.23 13.7  51 |   0.21 12.6 115 |   0.50 19.3  30 |   0.25 17.7 353 |
 | 16 10 | 1.70  7 1 |   1.51  8.3  99 |   0.37 12.1   9 |   0.24 13.7  51 |   0.17 12.7 115 |   0.51 19.3  30 |   0.25 17.6 353 |
 | 16 11 | 1.71  7 1 |   1.52  8.5 100 |   0.37 12.1   9 |   0.25 14.0  50 |   0.17 12.7 115 |   0.52 19.3  29 |   0.26 17.5 353 |
 | 16 12 | 1.71  6 1 |   1.52  8.6 100 |   0.36 12.0   9 |   0.25 14.0  50 |                 |   0.53 19.4  29 |   0.27 17.3 353 |
 | 16 13 | 1.70  6   |   1.51  8.6 100 |   0.36 12.0   9 |   0.24 14.1  50 |   0.21 15.8  25 |   0.54 19.4  28 |   0.27 17.0 353 |
 | 16 14 | 1.68  6   |   1.49  8.7 100 |   0.35 12.0   9 |   0.25 14.3  48 |   0.18 16.0  23 |   0.56 19.5  28 |   0.27 16.9 353 |
 | 16 15 | 1.66  6   |   1.46  8.7 100 |   0.35 11.9   9 |   0.24 14.4  48 |   0.18 16.0  22 |   0.57 19.6  28 |   0.27 16.8 353 |
